<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTLRP,D,20111010,000000,249.0000000,249.0000000,235.0000000,245.0000000,125880
MTLRP,D,20111011,000000,249.8900000,252.9100000,238.0000000,238.9100000,32330
MTLRP,D,20111012,000000,240.5500000,248.0000000,236.2000000,243.6600000,114940
MTLRP,D,20111013,000000,244.0700000,246.0000000,240.0000000,243.0100000,45590
MTLRP,D,20111014,000000,244.9900000,251.9800000,243.0000000,251.4000000,66090
MTLRP,D,20111017,000000,251.0100000,252.9900000,236.1000000,236.2000000,50480
MTLRP,D,20111018,000000,236.2000000,239.0000000,229.0000000,233.7100000,52180
MTLRP,D,20111019,000000,237.7900000,247.0000000,232.2600000,241.9600000,41700
MTLRP,D,20111020,000000,238.6000000,244.0000000,229.1000000,239.0000000,40670
MTLRP,D,20111021,000000,239.5500000,247.0000000,239.5500000,247.0000000,33020
MTLRP,D,20111024,000000,247.0100000,254.0000000,246.9600000,248.0000000,173560
MTLRP,D,20111025,000000,248.0000000,259.8900000,248.0000000,253.1000000,115610
MTLRP,D,20111026,000000,254.0000000,261.4900000,253.0100000,257.0000000,63150
MTLRP,D,20111027,000000,261.5000000,272.0000000,256.1200000,263.9700000,131640
MTLRP,D,20111028,000000,267.6200000,272.0000000,260.5500000,272.0000000,114630
MTLRP,D,20111031,000000,271.0000000,271.9800000,262.2000000,266.9900000,29080
MTLRP,D,20111101,000000,265.0000000,266.9900000,252.0100000,258.5000000,57010
MTLRP,D,20111102,000000,256.0000000,265.0000000,250.0700000,260.0000000,39780
MTLRP,D,20111103,000000,254.0100000,268.9800000,250.1100000,265.0000000,70600
MTLRP,D,20111107,000000,270.9900000,271.5000000,265.1000000,271.4600000,30140
MTLRP,D,20111108,000000,270.0000000,275.9000000,267.0000000,271.5100000,35940
MTLRP,D,20111109,000000,274.0900000,275.2200000,261.1000000,261.1000000,43400
MTLRP,D,20111110,000000,259.0000000,274.9900000,259.0000000,267.8100000,27710
MTLRP,D,20111111,000000,262.1400000,267.7900000,261.0000000,261.9900000,31760
MTLRP,D,20111114,000000,266.0000000,269.9500000,262.6600000,263.0100000,22760
MTLRP,D,20111115,000000,265.0000000,273.0000000,263.7000000,265.1000000,69680
MTLRP,D,20111116,000000,263.0100000,264.0600000,258.0000000,259.0000000,58670
MTLRP,D,20111117,000000,261.9200000,261.9200000,251.5000000,251.5000000,37740
MTLRP,D,20111118,000000,247.9900000,248.0000000,242.3500000,244.0000000,32050
MTLRP,D,20111121,000000,245.0000000,245.0000000,232.0100000,233.4300000,89090
