<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20001002,000000,1148.9000000,1171.0000000,1145.1000000,1165.0000000,4716
SBER,D,20001003,000000,1170.0000000,1220.0000000,1165.0000000,1211.0000000,13250
SBER,D,20001004,000000,1201.0000000,1210.0000000,1135.0000000,1156.0000000,12885
SBER,D,20001005,000000,1168.0000000,1185.0000000,1121.0000000,1144.0000000,6854
SBER,D,20001006,000000,1140.0000000,1150.0000000,1117.0000000,1136.0000000,4907
SBER,D,20001009,000000,1130.0000000,1130.0000000,1100.0000000,1113.5000000,2844
SBER,D,20001010,000000,1128.0000000,1134.0000000,1085.0100000,1103.5000000,5523
SBER,D,20001011,000000,1098.0000000,1098.0000000,1030.0000000,1044.0000000,8390
SBER,D,20001012,000000,1045.0000000,1070.0000000,1010.0000000,1038.0000000,7742
SBER,D,20001013,000000,1000.0000000,1020.0000000,990.0000000,1020.0000000,7468
SBER,D,20001016,000000,1078.0000000,1105.0000000,1041.5000000,1098.9500000,6796
SBER,D,20001017,000000,1065.0000000,1140.0000000,1060.0000000,1120.0000000,7253
SBER,D,20001018,000000,1089.0000000,1097.0000000,1000.0000000,1030.0000000,10842
SBER,D,20001019,000000,1065.0000000,1095.0000000,1040.0000000,1081.1000000,6152
SBER,D,20001020,000000,1115.0100000,1171.0000000,1115.0000000,1168.0000000,21169
SBER,D,20001023,000000,1190.0100000,1200.0000000,1148.0500000,1161.0000000,9147
SBER,D,20001024,000000,1148.0000000,1185.0000000,1142.0200000,1180.0000000,2323
SBER,D,20001025,000000,1187.0000000,1187.0000000,1145.0000000,1152.0100000,7264
SBER,D,20001026,000000,1140.0100000,1164.0000000,1140.0100000,1148.0000000,3438
SBER,D,20001027,000000,1170.0000000,1170.0000000,1150.0000000,1161.9900000,3360
SBER,D,20001030,000000,1166.0000000,1174.0000000,1101.2100000,1124.0000000,15663
SBER,D,20001031,000000,1130.0000000,1137.0000000,1120.0000000,1125.0000000,4961
SBER,D,20001101,000000,1149.0000000,1160.0000000,1133.0000000,1138.0000000,5536
SBER,D,20001102,000000,1140.0000000,1152.9900000,1137.0100000,1152.4900000,4551
SBER,D,20001103,000000,1155.0000000,1169.5000000,1143.0000000,1146.0000000,7079
SBER,D,20001104,000000,1150.0000000,1158.9000000,1140.0000000,1155.0000000,1036
SBER,D,20001108,000000,1143.4500000,1149.0000000,1111.0100000,1127.0000000,2805
SBER,D,20001109,000000,1100.0000000,1120.0000000,1070.0200000,1086.0000000,4823
